"Method","Prop","Iteration","results_mse"
"RF",0.01,1,0.0147215057052952
"PPCA",0.01,1,0.0160043983426555
"mean",0.01,1,0.0176106440847809
"min",0.01,1,0.0978423825250477
"RF",0.1,1,0.016296538431174
"PPCA",0.1,1,0.0169534943947764
"mean",0.1,1,0.0149384290831794
"min",0.1,1,0.0933023947887983
"RF",0.2,1,0.0161583148483469
"PPCA",0.2,1,0.0168898222602034
"mean",0.2,1,0.0158635024891946
"min",0.2,1,0.0903121124746371
"RF",0.3,1,0.0162947609502659
"PPCA",0.3,1,0.0171805524674459
"mean",0.3,1,0.0156397174470558
"min",0.3,1,0.0891473035753989
"RF",0.01,2,0.0144912882788842
"PPCA",0.01,2,0.0167365861603901
"mean",0.01,2,0.0142176567326859
"min",0.01,2,0.0948698795452886
"RF",0.1,2,0.0155821635415911
"PPCA",0.1,2,0.0175859364595091
"mean",0.1,2,0.0155886733942129
"min",0.1,2,0.0918571225097973
"RF",0.2,2,0.0159317492760453
"PPCA",0.2,2,0.0172272565051093
"mean",0.2,2,0.0157303328655617
"min",0.2,2,0.0883429424240231
"RF",0.3,2,0.016282424772866
"PPCA",0.3,2,0.0171752737987009
"mean",0.3,2,0.0158409864071748
"min",0.3,2,0.0858760222623415
