"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.0100157556847317,1.09398441942695
"mean",0.01,1,0.103860348911914,3.64479278339493
"min",0.1,1,0.0136672556375179,1.22082770298001
"mean",0.1,1,0.0818413624637391,3.02350554713289
"min",0.3,1,0.0195418859280601,1.44111427458717
"mean",0.3,1,0.0620879700877219,2.55467626686723
"min",0.5,1,0.03010766246358,1.67810796177471
"mean",0.5,1,0.065050179853473,2.40089891131631
"min",0.6,1,0.0410003910732365,1.88618873310286
"mean",0.6,1,0.0709143288312521,2.44973928261567
"min",0.8,1,0.061160355860733,2.1920082090893
"mean",0.8,1,0.0839915874826388,2.5658021765464
"min",0.01,2,0.010621355220735,1.16940566513417
"mean",0.01,2,0.10650378523206,3.47441321315899
"min",0.1,2,0.0128778947790181,1.23017807812262
"mean",0.1,2,0.0810503915973054,3.17187326447229
"min",0.3,2,0.0200476893210106,1.45563505662584
"mean",0.3,2,0.0632276333878498,2.56939220972393
"min",0.5,2,0.0345425883422078,1.76183410027235
"mean",0.5,2,0.0662607392176414,2.44288057950261
"min",0.6,2,0.0422602329464475,1.90807843779749
"mean",0.6,2,0.0691584216024176,2.445419520554
"min",0.8,2,0.0626915388564888,2.20685786831566
"mean",0.8,2,0.0846098698711689,2.57120222088393
"min",0.01,3,0.0121047213027372,1.1262822325495
"mean",0.01,3,0.103034221891391,3.2688834336867
"min",0.1,3,0.0126547237110156,1.24510586929559
"mean",0.1,3,0.080407858838689,2.95338905276917
"min",0.3,3,0.0217556573189102,1.46863166400265
"mean",0.3,3,0.0630283141602919,2.60765552085407
"min",0.5,3,0.0329684533677355,1.71846248403289
"mean",0.5,3,0.0638835467211478,2.42688721897558
"min",0.6,3,0.0407309210871842,1.86547974261695
"mean",0.6,3,0.0703703564898638,2.44524222728685
"min",0.8,3,0.0614216065419778,2.18886658651479
"mean",0.8,3,0.082881787695527,2.54815304586026
